Ionic Liquid,Cation,Anion,Viscosity (Pa.s),Viscosity (mPa.s),ln_visc,Cation-SMILES,Anion-SMILES,IL_SMILES,Temp (K),Pressure (kPa),MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
4-hexyl-4-methylmorpholinium tricyanomethanide,4-hexyl-4-methylmorpholinium,tricyanomethanide,0.0901,90.1,4.500920165,C[N+]1(CCCCCC)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCCCC)CCOCC1.N#C[C-](C#N)C#N,318.15,100,C15H24N4O,15,24,4,1,0,0,0,0,0,0
4-hexyl-4-methylmorpholinium tricyanomethanide,4-hexyl-4-methylmorpholinium,tricyanomethanide,0.0705,70.5,4.25561271,C[N+]1(CCCCCC)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCCCC)CCOCC1.N#C[C-](C#N)C#N,323.15,100,C15H24N4O,15,24,4,1,0,0,0,0,0,0
4-hexyl-4-methylmorpholinium tricyanomethanide,4-hexyl-4-methylmorpholinium,tricyanomethanide,0.0565,56.5,4.034240638,C[N+]1(CCCCCC)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCCCC)CCOCC1.N#C[C-](C#N)C#N,328.15,100,C15H24N4O,15,24,4,1,0,0,0,0,0,0
4-hexyl-4-methylmorpholinium tricyanomethanide,4-hexyl-4-methylmorpholinium,tricyanomethanide,0.0441,44.1,3.786459782,C[N+]1(CCCCCC)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCCCC)CCOCC1.N#C[C-](C#N)C#N,333.15,100,C15H24N4O,15,24,4,1,0,0,0,0,0,0
4-hexyl-4-methylmorpholinium tricyanomethanide,4-hexyl-4-methylmorpholinium,tricyanomethanide,0.0372,37.2,3.616308761,C[N+]1(CCCCCC)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCCCC)CCOCC1.N#C[C-](C#N)C#N,338.15,100,C15H24N4O,15,24,4,1,0,0,0,0,0,0
4-hexyl-4-methylmorpholinium tricyanomethanide,4-hexyl-4-methylmorpholinium,tricyanomethanide,0.0309,30.9,3.430756184,C[N+]1(CCCCCC)CCOCC1,N#C[C-](C#N)C#N,C[N+]1(CCCCCC)CCOCC1.N#C[C-](C#N)C#N,343.15,100,C15H24N4O,15,24,4,1,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,N-ethyl-N-methylmorpholinium,N-acetyl-L-alaninate,3.137,3137,8.051022208,C[N+]1(CC)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,298.15,101.325,C12H24N2O4,12,24,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,N-ethyl-N-methylmorpholinium,N-acetyl-L-alaninate,1.71,1710,7.444248649,C[N+]1(CC)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,303.15,101.325,C12H24N2O4,12,24,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,N-ethyl-N-methylmorpholinium,N-acetyl-L-alaninate,0.99,990,6.897704943,C[N+]1(CC)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,308.15,101.325,C12H24N2O4,12,24,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,N-ethyl-N-methylmorpholinium,N-acetyl-L-alaninate,0.601,601,6.398594935,C[N+]1(CC)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,313.15,101.325,C12H24N2O4,12,24,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-alaninate,N-ethyl-N-methylmorpholinium,N-acetyl-L-alaninate,0.383,383,5.948034989,C[N+]1(CC)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,318.15,101.325,C12H24N2O4,12,24,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-valinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-valinate,5.699,5699,8.648046,C[N+]1(CC)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,298.15,101.325,C12H24N2O4,12,24,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-valinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-valinate,3.104,3104,8.040446881,C[N+]1(CC)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,303.15,101.325,C12H24N2O4,12,24,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-valinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-valinate,1.777,1777,7.482681828,C[N+]1(CC)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,308.15,101.325,C12H24N2O4,12,24,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-valinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-valinate,1.065,1065,6.970730078,C[N+]1(CC)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,313.15,101.325,C12H24N2O4,12,24,2,4,0,0,0,0,0,0
N-ethyl-N-methylmorpholinium N-acetyl-L-valinate,N-ethyl-N-methylmorpholinium,N-acetyl-L-valinate,0.666,666,6.501289671,C[N+]1(CC)CCOCC1,C[C@@H](C(=O)[O-])NC(=O)C,C[N+]1(CC)CCOCC1.C[C@@H](C(=O)[O-])NC(=O)C,318.15,101.325,C12H24N2O4,12,24,2,4,0,0,0,0,0,0
