new_cation,new_anion,IL_SMILES,Experimental logEC50,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
CCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.2,C10H12F6N2O4S2,10.0,12.0,2.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCC[n+]1ccccc1,F[P-](F)(F)(F)(F)F,CCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F,3.85,C9H14F6NP,9.0,14.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
C[N+](C)(C)CCO,CC(O)C(=O)[O-],C[N+](C)(C)CCO.CC(O)C(=O)[O-],4.6,C8H19NO4,8.0,19.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
CCOCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.27,C10H20F6N2O5S2,10.0,20.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
COCCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.77,C11H20F6N2O6S2,11.0,20.0,2.0,6.0,2.0,0.0,6.0,0.0,0.0,0.0
CCn1cc[n+](C)c1,O=S(=O)([O-])O,CCn1cc[n+](C)c1.O=S(=O)([O-])O,3.99,C6H12N2O4S,6.0,12.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCCCCn1cc[n+](C)c1C,F[B-](F)(F)F,CCCCCCn1cc[n+](C)c1C.F[B-](F)(F)F,1.9,C11H21BF4N2,11.0,21.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
C[N+]1(CCCO)CCCCC1,[Cl-],C[N+]1(CCCO)CCCCC1.[Cl-],4.6,C9H20ClNO,9.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCn1cc[n+](CC)c1,F[B-](F)(F)F,CCCCn1cc[n+](CC)c1.F[B-](F)(F)F,3.257678575,C9H17BF4N2,9.0,17.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
NCCN1C=CCC=C1,[Cl-],NCC[N+]1=CC=CC=C1.[Cl-],3.79,C7H11ClN2,7.0,11.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCn1cc[n+](C)c1,F[B-](F)(F)F,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,3.11,C8H15BF4N2,8.0,15.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCCn1cc[n+](C)c1,Cc1ccc(S(=O)(=O)[O-])cc1,CCCCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,3.29,C15H22N2O3S,15.0,22.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
CCOC(=O)C[N+]1(C)CCCC1,[Br-],CCOC(=O)C[N+]1(C)CCCC1.[Br-],3.844477176,C9H18BrNO2,9.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
CCn1cc[n+](C)c1,COCCOCCOS(=O)(=O)[O-],CCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],3.845718018,C11H22N2O6S,11.0,22.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCCn1cc[n+](C)c1,F[B-](F)(F)F,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,3.230448921,C8H15BF4N2,8.0,15.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
